code,name,theme1,theme2,theme3
222800,심텍,반도체소부장,,
267250,HD현대,지주사,,
034730,SK,지주사,,
006260,LS,지주사,,
000150,두산,지주사,,
010170,대한광통신,전기전자,,
086280,현대글로비스,자동차,,
307950,현대오토에버,자동차,,
009470,삼화전기,전력설비,,
006340,대원전선,전력설비,,
389500,에스비비테크,전력설비,,
062040,산일전기,전력설비,,
100790,미래에셋벤처투자,우주항공,,
225190,LK삼양,우주항공,,
417010,나노팀,우주항공,,
474170,루미르,우주항공,,
027360,아주IB투자,우주항공,,
272290,이녹스첨단소재,우주항공,,
451760,컨텍,우주항공,,
488900,비츠로넥스텍,우주항공,,
295310,에이치브이엠,우주항공,,
065450,빅텍,방산,,
010820,퍼스텍,방산,,
484590,삼양컴텍,방산,,
085620,미래에셋생명,보험,,
000400,롯데손해보험,보험,,
000540,흥국화재,보험,,
088350,한화생명,보험,,
000370,한화손해보험,보험,,
001450,현대해상,보험,,
