code,name,change_rate,trade_value,volume,open_price,current_price
047560,이스트소프트,-0.0,7901276000,80216,98500,98500
067160,아프리카TV,0.78,14094712000,81946,170668,172000
078340,컴투스,0.5,4973452000,81532,60696,61000
069080,웹젠,-0.39,11375534300,80279,142254,141700
192080,더블유게임즈,-0.62,14554611200,86224,169853,168800
194480,데브시스터즈,0.04,20967758400,84684,247500,247600
225570,넥슨게임즈,0.29,11462341800,83181,137401,137800
011200,HMM,3.82,3576532800,81656,42188,43800
028670,팬오션,2.61,15424200000,83600,179807,184500
012630,HDC현대산업개발,-0.9,10638684000,82152,130676,129500
011790,SKC,2.26,13202308500,82155,157148,160700
078600,대주전자재료,0.89,10418748800,83752,123302,124400
009830,한화솔루션,1.28,5309307600,89836,58353,59100
298050,효성첨단소재,2.22,10034797500,84825,115730,118300
139480,이마트,-0.07,17184086400,86964,197738,197600
023530,롯데쇼핑,-1.39,14803668000,80630,186188,183600
007070,GS리테일,-0.58,10343116800,82944,125427,124700
097950,CJ제일제당,-0.22,11438737200,87252,131389,131100
004370,농심,0.92,18268892200,88943,203527,205400
271560,오뚜기,-1.21,9061852800,89544,102439,101200
175330,JB금융지주,0.97,4895579900,88849,54570,55100
024110,기업은행,1.26,7170140600,80654,87793,88900
005830,DB손해보험,1.44,6690421800,85446,77188,78300
323410,카카오뱅크,-0.49,9038676500,89051,101999,101500
377300,카카오페이,-0.32,19178860800,81856,235052,234300
001440,대한전선,2.27,21430446400,89368,234477,239800
010950,S-OIL,-0.87,16770652800,81096,208614,206800
014820,동일철강,-0.57,13355662400,81736,164336,163400
000880,한화,5.34,9328519200,88088,100531,105900
014440,삼익THK,2.51,6679040800,87422,74529,76400
079160,CJ CGV,0.61,20362113800,83657,241924,243400
352480,씨앤씨인터내셔널,-0.8,10346853600,83308,125201,124200
